Director,Genre,Runtime
Guy Ritchie,"Action, Adventure, Mystery",128 min
Guy Ritchie,"Action, Comedy, Crime",107 min113 min
Guy Ritchie,"Comedy, Crime",104 min
Hal Ashby,"Comedy, Drama",130 min
Hal Ashby,"Comedy, Drama, Romance",91 min
Hannes Holm,"Comedy, Drama, Romance",116 min
Harold Ramis,"Comedy, Fantasy, Romance",101 min
Hayao Miyazaki,"Animation, Action, Adventure",134 min
Hayao Miyazaki,"Animation, Adventure, Comedy",101 min94 min
Hayao Miyazaki,"Animation, Adventure, Drama",125 min103 min
Hayao Miyazaki,"Animation, Adventure, Family",125 min119 min100 min
Hayao Miyazaki,"Animation, Adventure, Fantasy",117 min
Hayao Miyazaki,"Animation, Biography, Drama",126 min
Hayao Miyazaki,"Animation, Family, Fantasy",86 min
Henri-Georges Clouzot,"Adventure, Drama, Thriller",131 min
Henri-Georges Clouzot,"Crime, Drama, Horror",117 min
Henry Koster,"Comedy, Drama, Fantasy",104 min
Henry Selick,"Animation, Drama, Family",100 min
Henry Selick,"Animation, Family, Fantasy",76 min
Hideaki Anno,"Animation, Action, Drama",87 min
Hirokazu Koreeda,"Crime, Drama",121 min
Hiromasa Yonebayashi,"Animation, Adventure, Family",94 min
Hong-jin Na,"Action, Crime, Thriller",125 min
Howard Hawks,"Action, Adventure, Drama",133 min
Howard Hawks,"Action, Crime, Drama",93 min
Howard Hawks,"Action, Drama, Western",141 min
Howard Hawks,"Adventure, Comedy, Film-Noir",100 min
Howard Hawks,"Comedy, Drama, Romance",92 min
Howard Hawks,"Comedy, Family, Romance",102 min
Howard Hawks,"Crime, Film-Noir, Mystery",114 min
Hrishikesh Mukherjee,"Drama, Musical",122 min
Imtiaz Ali,"Comedy, Drama, Romance",138 min
Imtiaz Ali,"Drama, Music, Musical",159 min
Ingmar Bergman,Drama,188 min91 min89 min
Ingmar Bergman,"Drama, Fantasy, History",96 min
Ingmar Bergman,"Drama, Music",99 min
Ingmar Bergman,"Drama, Romance",91 min
Ingmar Bergman,"Drama, Thriller",85 min
Irvin Kershner,"Action, Adventure, Fantasy",124 min
Isao Takahata,"Animation, Adventure, Drama",137 min
Isao Takahata,"Animation, Drama, Romance",118 min
Isao Takahata,"Animation, Drama, War",89 min
Ivan Reitman,"Action, Comedy, Fantasy",105 min
J. Lee Thompson,"Drama, Thriller",106 min
J.J. Abrams,"Action, Adventure, Sci-Fi",138 min127 min132 min
Jack Clayton,Horror,100 min
Jaco Van Dormael,"Drama, Fantasy, Romance",141 min
Jacques Audiard,"Crime, Drama",155 min
Jacques Tourneur,"Crime, Drama, Film-Noir",97 min
Jae-young Kwak,"Comedy, Drama, Romance",137 min
James Algar,"Animation, Family, Fantasy",125 min
James Cameron,"Action, Adventure, Fantasy",162 min
James Cameron,"Action, Adventure, Sci-Fi",137 min
James Cameron,"Action, Sci-Fi",137 min107 min
James Cameron,"Drama, Romance",194 min
James Foley,"Crime, Drama, Mystery",100 min
James Frawley,"Adventure, Comedy, Family",95 min
James Gunn,"Action, Adventure, Comedy",121 min136 min
James Ivory,"Drama, Romance",134 min
James L. Brooks,"Comedy, Drama, Romance",139 min
James Mangold,"Action, Biography, Drama",152 min
James Mangold,"Action, Crime, Drama",122 min
James Mangold,"Action, Drama, Sci-Fi",137 min
James Mangold,"Biography, Drama, Music",136 min
James Marsh,"Biography, Drama, Romance",123 min
James McTeigue,"Action, Drama, Sci-Fi",132 min
James Simone,"Animation, Drama, Family",103 min
James Wan,"Horror, Mystery, Thriller",103 min
James Whale,"Drama, Horror, Sci-Fi",75 min70 min
James Whale,"Horror, Sci-Fi",71 min
Je-kyu Kang,"Action, Drama, War",140 min
Jean Renoir,"Comedy, Drama",110 min
Jean Renoir,"Drama, War",113 min
Jean-Jacques Annaud,"Crime, Drama, Mystery",130 min
Jean-Jacques Annaud,"Drama, History, War",131 min
Jean-Luc Godard,"Crime, Drama",90 min
Jean-Luc Godard,Drama,80 min
Jean-Marc Vallée,"Biography, Drama",117 min
Jean-Marc Vallée,"Comedy, Drama",129 min
Jean-Pierre Jeunet,"Comedy, Romance",122 min
Jean-Pierre Jeunet,"Drama, Mystery, Romance",133 min
Jean-Pierre Melville,"Crime, Drama, Mystery",105 min
Jee-woon Kim,"Action, Crime, Drama",144 min
Jeethu Joseph,"Crime, Drama, Thriller",160 min
Jemaine Clement,"Comedy, Horror",86 min
Jeong-beom Lee,"Action, Crime, Drama",119 min
Jessie Nelson,Drama,132 min
Jim Abrahams,Comedy,88 min
Jim Jarmusch,"Adventure, Drama, Fantasy",121 min
Jim Jarmusch,"Comedy, Crime, Drama",107 min
Jim Jarmusch,"Comedy, Drama",129 min
Jim Sheridan,"Biography, Crime, Drama",133 min
Jim Sheridan,"Biography, Drama",103 min
Jim Sheridan,Drama,105 min
Joe Johnston,"Biography, Drama, Family",108 min
Joe Wright,"Drama, Mystery, Romance",123 min
Joe Wright,"Drama, Romance",129 min
Joel Coen,"Adventure, Comedy, Crime",107 min
Joel Coen,"Comedy, Crime, Sport",117 min
Joel Coen,"Comedy, Drama, Thriller",116 min
Joel Coen,"Crime, Drama, Thriller",98 min115 min99 min
Joel Schumacher,"Action, Crime, Drama",113 min
John Boorman,"Adventure, Drama, Thriller",109 min
John Cameron Mitchell,"Comedy, Drama, Music",95 min
John Carney,"Comedy, Drama, Music",106 min
John Carney,"Drama, Music, Romance",86 min
John Carpenter,"Horror, Mystery, Sci-Fi",109 min
John Carpenter,"Horror, Thriller",91 min
John Ford,"Adventure, Drama, Western",119 min96 min
John Ford,"Comedy, Drama, Romance",129 min
John Ford,"Drama, History",129 min
John Ford,"Drama, Western",123 min
John Frankenheimer,"Drama, Thriller",126 min
John G. Avildsen,"Drama, Sport",120 min
John Hughes,Comedy,103 min
John Hughes,"Comedy, Drama",97 min93 min
John Huston,"Action, Crime, Drama",100 min
John Huston,"Adventure, Drama, Romance",105 min
John Huston,"Adventure, Drama, Western",126 min
John Huston,"Adventure, History, War",129 min
John Huston,"Film-Noir, Mystery",100 min
John Landis,"Action, Adventure, Comedy",133 min
John Lasseter,"Animation, Adventure, Comedy",81 min92 min
John Lee Hancock,"Biography, Drama, Sport",129 min
John McTiernan,"Action, Adventure, Sci-Fi",107 min
John McTiernan,"Action, Adventure, Thriller",128 min
John McTiernan,"Action, Thriller",132 min
John Schlesinger,Drama,113 min
John Singleton,"Crime, Drama",112 min
John Sturges,"Action, Adventure, Western",128 min
John Sturges,"Adventure, Drama, History",172 min
John Woo,"Action, Crime, Drama",111 min
John Woo,"Action, Crime, Thriller",128 min
Jon Avnet,Drama,130 min
Jon Favreau,"Action, Adventure, Sci-Fi",126 min
Jonathan Dayton,"Comedy, Drama",101 min
Jonathan Demme,"Crime, Drama, Thriller",118 min
Jonathan Demme,Drama,125 min
Jonathan Levine,"Comedy, Drama, Romance",100 min
Jonathan Lynn,"Comedy, Crime",120 min
Jordan Peele,"Horror, Mystery, Thriller",104 min
Joseph Kosinski,"Action, Biography, Drama",134 min
Joseph L. Mankiewicz,Drama,138 min
Joseph L. Mankiewicz,"Mystery, Thriller",138 min
Joseph Sargent,"Action, Crime, Thriller",104 min
Josh Boone,"Drama, Romance",126 min
Josh Cooley,"Animation, Adventure, Comedy",100 min
Joss Whedon,"Action, Adventure, Sci-Fi",143 min119 min
José Padilha,"Action, Crime, Drama",115 min115 min
Juan José Campanella,"Drama, Mystery, Romance",129 min
Jules Dassin,"Crime, Drama, Thriller",118 min
Julian Schnabel,"Biography, Drama",112 min
Kabir Khan,"Action, Adventure, Comedy",163 min
Kaige Chen,"Drama, Music, Romance",171 min
Kar-Wai Wong,"Comedy, Crime, Drama",102 min99 min
Kar-Wai Wong,"Drama, Romance",98 min
Karan Johar,Drama,165 min
Katsuhiro Ôtomo,"Animation, Action, Sci-Fi",124 min
Ken Annakin,"Action, Drama, History",178 min
Ken Loach,Drama,100 min
Kenneth Branagh,Drama,242 min
Kenneth Lonergan,Drama,137 min
Kevin Altieri,"Animation, Action, Crime",76 min
Kevin Costner,"Adventure, Drama, Western",181 min
Kevin Macdonald,"Biography, Drama, History",123 min
Kevin Reynolds,"Action, Adventure, Drama",131 min
Kevin Smith,Comedy,92 min
Ki-duk Kim,"Crime, Drama, Romance",88 min
Ki-duk Kim,"Drama, Romance",103 min
Kinji Fukasaku,"Action, Adventure, Drama",114 min
Krzysztof Kieslowski,"Comedy, Drama, Romance",92 min
Krzysztof Kieslowski,"Drama, Fantasy, Music",98 min
Krzysztof Kieslowski,"Drama, Music, Mystery",94 min
Krzysztof Kieslowski,"Drama, Mystery, Romance",99 min
Lana Wachowski,"Action, Sci-Fi",136 min
Lars von Trier,"Crime, Drama",178 min
Lars von Trier,"Crime, Drama, Musical",140 min
Lars von Trier,Drama,159 min
Lasse Hallström,"Biography, Drama, Family",93 min
Lasse Hallström,Drama,118 min
Lee Tamahori,"Crime, Drama",102 min
